Resumo										
										
										
Número	Seção				Custo total	Porcentagem do total	Material	Mão de obra		Economia possível
10.8		Conexão à rede pública de distribuição de água, com escavação, tubulação e caixa de entrada e medição	un	1.00	R$ 106.52	R$ 258.91	R$ 365.43	R$ 106.52	R$ 258.91	R$ 365.43
10.9		Conexão à rede pública de esgoto com escavação, tubulação e caixa de inspeção	m	2.00	R$ 101.01	R$ 31.16	R$ 132.17	R$ 202.02	R$ 62.32	R$ 264.34
10.10		Caixa d’água em polietileno de 500L com instalação em base em alvenaria, com assessórios, boias, ventilação, peças de conexões e registros	un	1.00	R$ 419.70	R$ 276.98	R$ 696.68	R$ 419.70	R$ 276.98	R$ 696.68
10.11		Tubulação de PVC de 25mm de diâmetro para água fria, com cotovelos, joelhos e demais conectores onde necessário	m	26.37	R$ 4.36	R$ 13.85	R$ 18.21	R$ 114.98	R$ 365.25	R$ 480.23
10.12		Tampo de pia suspenso em granito de 120x55x3cm conforme projeto, com furação para a cuba, fixado à parede com mãos francesas metálicas, com bordas em granito de 5cm	m²	0.66	R$ 344.37	R$ 91.75	R$ 436.12	R$ 227.28	R$ 60.56	R$ 287.84
10.13		Caixa de separação de gordura em alvenaria	un	1.00	R$ 84.65	R$ 146.89	R$ 231.54	R$ 84.65	R$ 146.89	R$ 231.54
10.14		Caixa de inspeção exterior em concreto pré-fabricada tamanho mínimo 50x50x50cm	un	2.00	R$ 60.96	R$ 120.42	R$ 181.38	R$ 121.92	R$ 240.84	R$ 362.76
10.15		Tubulação de PVC de 50mm de diâmetro para esgoto, com cotovelos, joelhos e demais conectores onde necessário	m	15.25	R$ 14.20	R$ 20.77	R$ 34.97	R$ 216.55	R$ 316.74	R$ 533.29
10.16		Tubulação de PVC de 75mm de diâmetro para esgoto, com cotovelos, joelhos e demais conectores onde necessário	m	4.40	R$ 33.36	R$ 31.16	R$ 64.52	R$ 146.62	R$ 136.95	R$ 283.57
10.17		Conector de parede para gás de cozinha	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
										
	Total							R$ 3,294.38	R$ 2,437.34	R$ 5,731.73
										
11	Instalações elétricas									
										
11.1		Conexão à rede pública de distribuição elétrica baixa tensão com escavação, tubulação e caixa de entrada e caixa de medição em aço tipo armário	un	1.00	R$ 1,313.27	R$ 463.42	R$ 1,776.69	R$ 1,313.27	R$ 463.42	R$ 1,776.69
11.2		Conexão à rede pública de distribuição de telefonia / internet, com escavação, tubulação e caixa de entrada e medição (incluido em item 11.1)	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
11.3		Quadro geral de distribuição elétrica em PVC embutido em parede conforme projeto	un	1.00	R$ 57.92	R$ 25.90	R$ 83.82	R$ 57.92	R$ 25.90	R$ 83.82
11.4		Disjuntores bipolares termomagnéticos de 20A	un	6.00	R$ 31.54	R$ 17.59	R$ 49.13	R$ 189.24	R$ 105.54	R$ 294.78
11.5		Disjuntores bipolares termomagnéticos de 40A	un	2.00	R$ 28.49	R$ 21.99	R$ 50.48	R$ 56.98	R$ 43.98	R$ 100.96
11.6		Eletroduto de PVC embutido em pisos e paredes	m	93.61	R$ 2.99	R$ 11.59	R$ 14.58	R$ 279.91	R$ 1,085.00	R$ 1,364.90
11.7		Fiação de cobre de 2.5mm / 4mm isolada com PVC com resistência mínima de 750V / 70°C	m	281.57	R$ 0.99	R$ 1.93	R$ 2.92	R$ 278.75	R$ 543.43	R$ 822.18
11.8		Caixas de passagem em PVC embutidas em paredes	un	29.00	R$ 4.39	R$ 6.59	R$ 10.98	R$ 127.31	R$ 191.11	R$ 318.42
11.9		Tomadas universais simples de 2 polos + aterramento 10A – 250V	un	11.00	R$ 22.87	R$ 77.24	R$ 100.11	R$ 251.57	R$ 849.64	R$ 1,101.21
11.10		Tomadas universais duplas de 2 polos + aterramento 10A – 250V	un	4.00	R$ 22.87	R$ 77.24	R$ 100.11	R$ 91.48	R$ 308.96	R$ 400.44
11.11		Interuptores de uma tecla simples 10A – 250V	un	8.00	R$ 22.97	R$ 77.24	R$ 100.21	R$ 183.76	R$ 617.92	R$ 801.68
11.12		Fiação para telefone	m	9.17	R$ 0.99	R$ 1.93	R$ 2.92	R$ 9.08	R$ 17.70	R$ 26.78
11.13		Tomada para telefone	un	1.00	R$ 8.86	R$ 9.65	R$ 18.51	R$ 8.86	R$ 9.65	R$ 18.51
11.14		Espera para luminária em laje de concreto	un	8.00	R$ 37.28	R$ 123.58	R$ 160.86	R$ 298.24	R$ 988.64	R$ 1,286.88
11.15		Espera para luminária em forro de gesso acartonado	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
11.16		luminária simples em PVC	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
11.17		Aterramento com haste de aço revestida com cobre de mínimo 150cm (incluido em item 11.1)	un	0.00			R$ 0.00	R$ 0.00	R$ 0.00	R$ 0.00
										
	Total							R$ 3,146.37	R$ 5,250.89	R$ 8,397.26
										
